key;value;
abandoned:*;;
access;;
addr:*;;
aerialway:*;;
aerodrome;;
alt_name;;
area;;
artist;;
authentication:*;;
bridge;;
building;;
building:*;;
building:levels;;
bus;;
bus:lanes;;
canoe;;
capacity:*;;
change;;
changing_table;;
check_date:*;;
class;;
communication:*;;
community_centre;;
construction:*;;
contact:*;;
crossing;;
cycleway;;
cycleway:both;;
cycleway:left;;
cycleway:right;;
demolished:*;;
destination;;
destination:ref;;
destroyed:*;;
diet:*;;
dist;;
disused:*;;
door;;
drink:*;;
fee;;
fixme;;
flag;;
footway;;
fuel:*;;
generator:output:*;;
genus;;
golf;;
handrail;;
healthcare;;
heritage;;
hgv;;
historic;;
hov;;
internet_access;;
is_in;;
junction;;
kerb;;
lanes;;
lanes:psv;;
language:*;;
layer;;
level;;
manufacturer;;
mapillary;;
maxheight;;
maxspeed;;
maxspeed:hgv;;
minspeed;;
motor_vehicle;;
mtb;;
mtb:scale;;
name;;
name:etymology;;
network;;
not:*;;
note:*;;
object:*;;
official_name;;
old_name;;
old_ref;;
oneway;;
opening_hours:*;;
operator;;
owner;;
parking:*;;
parking:both;;
parking:condition;;
parking:lane;;
parking:lane:left;;
parking:lane:right;;
parking:left;;
parking:right;;
payment:*;;
piste:*;;
placement;;
planned:*;;
plant:output:*;;
playground:*;;
proposed:*;;
psv:lanes;;
railway;;
railway:position;;
ramp;;
razed:*;;
recycling:*;;
ref;;
removed:*;;
roof;;
seamark:*;;
service:bicycle:*;;
service:vehicle:*;;
shop;;
sidewalk;;
sidewalk:both;;
sidewalk:left;;
sidewalk:right;;
social_facility;;
socket:*;;
species;;
subject;;
surface;;
surveillance;;
toilets:*;;
toll;;
traffic_sign;;
traffic_signals;;
tunnel;;
turn;;
type;;
voltage;;
was:*;;
website:*;;
wheelchair;;
abandoned:railway;rail;
abandoned;yes;
access;customers;
access;delivery;
access;designated;
access;destination;
access;employees;
access;no;
access;permissive;
access;permit;
access;private;
access;residents;
access;unknown;
access;yes;
advertising;billboard;
aerialway;chair_lift;
aerialway;pylon;
aerialway;station;
aeroway;aerodrome;
aeroway;apron;
aeroway;gate;
aeroway;hangar;
aeroway;helipad;
aeroway;holding_position;
aeroway;jet_bridge;
aeroway;navigationaid;
aeroway;parking_position;
aeroway;runway;
aeroway;stopway;
aeroway;taxilane;
aeroway;taxiway;
aeroway;terminal;
allotments;plot;
amenity;animal_boarding;
amenity;animal_shelter;
amenity;arts_centre;
amenity;atm;
amenity;bank;
amenity;bar;
amenity;bbq;
amenity;bench;
amenity;bicycle_parking;
amenity;bicycle_rental;
amenity;bicycle_repair_station;
amenity;bus_station;
amenity;cafe;
amenity;car_rental;
amenity;car_sharing;
amenity;car_wash;
amenity;charging_station;
amenity;childcare;
amenity;cinema;
amenity;clinic;
amenity;clock;
amenity;college;
amenity;community_centre;
amenity;compressed_air;
amenity;courthouse;
amenity;dentist;
amenity;doctors;
amenity;dojo;
amenity;drinking_water;
amenity;events_venue;
amenity;fast_food;
amenity;ferry_terminal;
amenity;fire_station;
amenity;food_court;
amenity;fountain;
amenity;fuel;
amenity;grave_yard;
amenity;hospital;
amenity;ice_cream;
amenity;kindergarten;
amenity;letter_box;
amenity;library;
amenity;loading_dock;
amenity;lounger;
amenity;marketplace;
amenity;money_transfer;
amenity;motorcycle_parking;
amenity;music_school;
amenity;nightclub;
amenity;nursing_home;
amenity;parcel_locker;
amenity;parking;
amenity;parking_entrance;
amenity;parking_space;
amenity;payment_terminal;
